Protein,distance,angle,MTFE,Omega2/Omega1,Frame
fl,0.5,1,-0.5,0.3188928571428571,28000
fl,0.5,1,0.0,0.3207380952380952,28000
fl,0.5,1,0.5,0.3317202380952381,28000
fl,0.5,1,1.0,0.337297619047619,28000
fl,0.5,1,2.0,0.3440595238095238,28000
fl,0.5,1,3.0,0.3519107142857143,28000
2fl,0.0,60,0.0,0.3058095238095238,28000
2fl,0.0,30,0.0,0.2204404761904762,28000
2fl,0.0,1,0.0,0.0972619047619047,28000
2fl,0.2,30,0.0,0.2879345238095238,28000
2fl,0.2,1,0.0,0.1617678571428571,28000
2fl,0.5,1,0.0,0.2604821428571429,28000
r2,0.0,60,-3.0,0.4850238095238095,28000
r2,0.0,60,-2.0,0.5171785714285714,28000
r2,0.0,60,-1.0,0.5090238095238095,28000
r2,0.0,60,-0.5,0.505452380952381,28000
r2,0.0,60,0.0,0.5070119047619047,28000
r2,0.0,60,0.5,0.5053809523809524,28000
r2,0.0,60,1.0,0.5112857142857142,28000
r2,0.0,60,2.0,0.5207321428571429,28000
r2,0.0,60,3.0,0.5386428571428571,28000
r2,0.0,30,-3.0,0.3831369047619047,28000
r2,0.0,30,-2.0,0.3889047619047619,28000
r2,0.0,30,-1.0,0.3798214285714286,28000
r2,0.0,30,-0.5,0.3750357142857143,28000
r2,0.0,30,0.0,0.3750238095238095,28000
r2,0.0,30,0.5,0.3804345238095238,28000
r2,0.0,30,1.0,0.3841011904761904,28000
r2,0.0,30,2.0,0.3902142857142857,28000
r2,0.0,30,3.0,0.4013988095238095,28000
r2,0.0,1,-3.0,0.2288571428571428,28000
r2,0.0,1,-2.0,0.2141607142857143,28000
r2,0.0,1,-1.0,0.2061309523809524,28000
r2,0.0,1,-0.5,0.2062142857142857,28000
r2,0.0,1,0.0,0.2013035714285714,28000
r2,0.0,1,0.5,0.2037678571428571,28000
r2,0.0,1,1.0,0.2028928571428571,28000
r2,0.0,1,2.0,0.203172619047619,28000
r2,0.0,1,3.0,0.2025059523809523,28000
r2,0.2,30,-3.0,0.4643035714285714,28000
r2,0.2,30,-2.0,0.465797619047619,28000
r2,0.2,30,-1.0,0.4543154761904762,28000
r2,0.2,30,-0.5,0.445577380952381,28000
r2,0.2,30,0.0,0.443047619047619,28000
r2,0.2,30,0.5,0.445422619047619,28000
r2,0.2,30,1.0,0.4500952380952381,28000
r2,0.2,30,2.0,0.4553214285714286,28000
r2,0.2,30,3.0,0.4667440476190476,28000
r2,0.2,1,-3.0,0.3061666666666666,28000
r2,0.2,1,-2.0,0.2877559523809523,28000
r2,0.2,1,-1.0,0.2781845238095238,28000
r2,0.2,1,-0.5,0.2759047619047619,28000
r2,0.2,1,0.0,0.2711904761904762,28000
