Protein,distance,angle,MTFE,Omega2/Omega1,Frame
puma_scramble_27,0.2,30,2.0,0.3074503968253968,16800
puma_scramble_27,0.2,30,3.0,0.3540972222222222,16800
puma_scramble_27,0.2,1,-3.0,0.0466964285714285,16800
puma_scramble_27,0.2,1,-2.0,0.0306746031746031,16800
puma_scramble_27,0.2,1,-1.0,0.0651091269841269,16800
puma_scramble_27,0.2,1,-0.5,0.0377480158730158,16800
puma_scramble_27,0.2,1,0.0,0.0568353174603174,16800
puma_scramble_27,0.2,1,0.5,0.097579365079365,16800
puma_scramble_27,0.2,1,1.0,0.1348313492063492,16800
puma_scramble_27,0.2,1,2.0,0.176765873015873,16800
puma_scramble_27,0.2,1,3.0,0.2028472222222222,16800
puma_scramble_27,0.5,1,-3.0,0.1777480158730158,16800
puma_scramble_27,0.5,1,-2.0,0.1348710317460317,16800
puma_scramble_27,0.5,1,-1.0,0.1564583333333333,16800
puma_scramble_27,0.5,1,-0.5,0.1437698412698412,16800
puma_scramble_27,0.5,1,0.0,0.1570734126984127,16800
puma_scramble_27,0.5,1,0.5,0.1956845238095238,16800
puma_scramble_27,0.5,1,1.0,0.2308333333333333,16800
puma_scramble_27,0.5,1,2.0,0.2732242063492063,16800
puma_scramble_27,0.5,1,3.0,0.2991865079365079,16800
puma_scramble_88,0.0,60,-3.0,0.4459941711770653,16813
puma_scramble_88,0.0,60,-2.0,0.3707951979079995,16826
puma_scramble_88,0.0,60,-1.0,0.5268109264928811,33643
puma_scramble_88,0.0,60,0.0,0.5319986921110517,33642
puma_scramble_88,0.0,60,1.0,0.5343754953241401,33648
puma_scramble_88,0.0,60,2.0,0.5352373593279443,16824
puma_scramble_88,0.0,60,3.0,0.5414685370106197,16824
puma_scramble_88,0.0,30,-3.0,0.3231229802335494,16813
puma_scramble_88,0.0,30,-2.0,0.3020721898648916,16826
puma_scramble_88,0.0,30,-1.0,0.357627639231539,33643
puma_scramble_88,0.0,30,0.0,0.3676901888512375,33642
puma_scramble_88,0.0,30,1.0,0.3673769614835949,33648
puma_scramble_88,0.0,30,2.0,0.3675404184498336,16824
puma_scramble_88,0.0,30,3.0,0.3731573941987636,16824
puma_scramble_88,0.0,1,-3.0,0.1597672436011816,16813
puma_scramble_88,0.0,1,-2.0,0.186823962914537,16826
puma_scramble_88,0.0,1,-1.0,0.1659582478772206,33643
puma_scramble_88,0.0,1,0.0,0.1709073974991578,33642
puma_scramble_88,0.0,1,1.0,0.1666567601838643,33648
puma_scramble_88,0.0,1,2.0,0.1672313361864003,16824
puma_scramble_88,0.0,1,3.0,0.166963861150737,16824
puma_scramble_88,0.2,30,-3.0,0.4198140327920855,16813
puma_scramble_88,0.2,30,-2.0,0.3931712825389278,16826
puma_scramble_88,0.2,30,-1.0,0.4440745474541509,33643
puma_scramble_88,0.2,30,0.0,0.4435477478548639,33642
puma_scramble_88,0.2,30,1.0,0.4412050245680773,33648
puma_scramble_88,0.2,30,2.0,0.4402242827706451,16824
puma_scramble_88,0.2,30,3.0,0.4432061340941512,16824
puma_scramble_88,0.2,1,-3.0,0.2423323222109875,16813
puma_scramble_88,0.2,1,-2.0,0.2536946788700028,16826
puma_scramble_88,0.2,1,-1.0,0.2501808201805229,33643
puma_scramble_88,0.2,1,0.0,0.2544537581990765,33642
puma_scramble_88,0.2,1,1.0,0.2494749564114756,33648
puma_scramble_88,0.2,1,2.0,0.2483456173720082,16824
puma_scramble_88,0.2,1,3.0,0.2496631795847202,16824
puma_scramble_88,0.5,1,-3.0,0.3698229544598426,16813
puma_scramble_88,0.5,1,-2.0,0.3770454455406316,16826
puma_scramble_88,0.5,1,-1.0,0.3586630205391909,33643
puma_scramble_88,0.5,1,0.0,0.3513366228722034,33642
puma_scramble_88,0.5,1,1.0,0.3412387066096053,33648
puma_scramble_88,0.5,1,2.0,0.3382073228720875,16824
puma_scramble_88,0.5,1,3.0,0.3370185449358059,16824
puma_scramble_53,0.0,60,-3.0,0.4800958093315122,16839
puma_scramble_53,0.0,60,-2.0,0.4180535742589951,16824
puma_scramble_53,0.0,60,-1.0,0.4617510699001426,16824
puma_scramble_53,0.0,60,0.0,0.4830301949595815,16824
puma_scramble_53,0.0,60,1.0,0.5260738627357743,16824
puma_scramble_53,0.0,60,2.0,0.5578835790141068,16824
puma_scramble_53,0.0,60,3.0,0.5638670946267237,16824
puma_scramble_53,0.0,30,-3.0,0.2216085674129501,16839
puma_scramble_53,0.0,30,-2.0,0.1798224758281819,16824
puma_scramble_53,0.0,30,-1.0,0.2577468695514344,16824
puma_scramble_53,0.0,30,0.0,0.3119056110318592,16824
puma_scramble_53,0.0,30,1.0,0.3634490410524647,16824
puma_scramble_53,0.0,30,2.0,0.3959621176097638,16824
puma_scramble_53,0.0,30,3.0,0.402926375019813,16824
puma_scramble_53,0.0,1,-3.0,0.027822317239741,16839
puma_scramble_53,0.0,1,-2.0,0.0534157552702488,16824
puma_scramble_53,0.0,1,-1.0,0.1187192899033127,16824
puma_scramble_53,0.0,1,0.0,0.1483396734823268,16824
puma_scramble_53,0.0,1,1.0,0.1634173403074972,16824
puma_scramble_53,0.0,1,2.0,0.1693711364717071,16824
puma_scramble_53,0.0,1,3.0,0.1748097955301949,16824
puma_scramble_53,0.2,30,-3.0,0.3521289862818457,16839
puma_scramble_53,0.2,30,-2.0,0.298809240767158,16824
puma_scramble_53,0.2,30,-1.0,0.3596746711047709,16824
puma_scramble_53,0.2,30,0.0,0.4007964812173086,16824
puma_scramble_53,0.2,30,1.0,0.4394317641464574,16824
puma_scramble_53,0.2,30,2.0,0.464940957362498,16824
puma_scramble_53,0.2,30,3.0,0.4704390553177999,16824
puma_scramble_53,0.2,1,-3.0,0.0910089672783419,16839
puma_scramble_53,0.2,1,-2.0,0.0948545728324615,16824
puma_scramble_53,0.2,1,-1.0,0.1733139166270407,16824
puma_scramble_53,0.2,1,0.0,0.2171996354414328,16824
puma_scramble_53,0.2,1,1.0,0.2456807734981772,16824
puma_scramble_53,0.2,1,2.0,0.2592625614201934,16824
puma_scramble_53,0.2,1,3.0,0.2630072119194801,16824
puma_scramble_53,0.5,1,-3.0,0.247025753706673,16839
puma_scramble_53,0.5,1,-2.0,0.2111368679663972,16824
puma_scramble_53,0.5,1,-1.0,0.2853859565699794,16824
puma_scramble_53,0.5,1,0.0,0.3279838326200666,16824
puma_scramble_53,0.5,1,1.0,0.3550879695672848,16824
puma_scramble_53,0.5,1,2.0,0.3655888413377714,16824
puma_scramble_53,0.5,1,3.0,0.3657374385798066,16824
puma_scramble_84,0.0,60,-3.0,0.0269766380031961,13141
puma_scramble_84,0.0,60,-2.0,0.0934478522745284,16824
puma_scramble_84,0.0,60,-1.0,0.1533919797115232,33648
puma_scramble_84,0.0,60,0.0,0.2731861229988905,33648
puma_scramble_84,0.0,60,1.0,0.3348341654778887,33648
puma_scramble_84,0.0,60,2.0,0.3999247107307022,16824
puma_scramble_84,0.0,60,3.0,0.4322396576319544,16824
puma_scramble_84,0.0,30,-3.0,0.0227658980798011,13141
puma_scramble_84,0.0,30,-2.0,0.0717130290061816,16824
puma_scramble_84,0.0,30,-1.0,0.1092239261372642,33648
puma_scramble_84,0.0,30,0.0,0.1921758598827072,33648
puma_scramble_84,0.0,30,1.0,0.2491579489618006,33648
puma_scramble_84,0.0,30,2.0,0.301474084640989,16824
puma_scramble_84,0.0,30,3.0,0.3229018069424631,16824
puma_scramble_84,0.0,1,-3.0,0.00552976688735,13141
puma_scramble_84,0.0,1,-2.0,0.0219725788556031,16824
puma_scramble_84,0.0,1,-1.0,0.0495918529085433,33648
puma_scramble_84,0.0,1,0.0,0.0908374940561103,33648
puma_scramble_84,0.0,1,1.0,0.1249653273101917,33648
puma_scramble_84,0.0,1,2.0,0.1549770169598985,16824
puma_scramble_84,0.0,1,3.0,0.1670431130131558,16824
puma_scramble_84,0.2,30,-3.0,0.0592927986200948,13141
puma_scramble_84,0.2,30,-2.0,0.1253863528292914,16824
puma_scramble_84,0.2,30,-1.0,0.1687916072277698,33648
puma_scramble_84,0.2,30,0.0,0.2567215485813917,33648
puma_scramble_84,0.2,30,1.0,0.3094636630210809,33648
puma_scramble_84,0.2,30,2.0,0.3585948644793152,16824
puma_scramble_84,0.2,30,3.0,0.3816571564431764,16824
puma_scramble_84,0.2,1,-3.0,0.0190751591710422,13141
puma_scramble_84,0.2,1,-2.0,0.0637085909018862,16824
puma_scramble_84,0.2,1,-1.0,0.0946267237280076,33648
puma_scramble_84,0.2,1,0.0,0.1513661039784435,33648
puma_scramble_84,0.2,1,1.0,0.190278768426058,33648
puma_scramble_84,0.2,1,2.0,0.2263730385164051,16824
puma_scramble_84,0.2,1,3.0,0.2411535108575051,16824
puma_scramble_84,0.5,1,-3.0,0.1432793039596175,13141
puma_scramble_84,0.5,1,-2.0,0.1708472024092566,16824
puma_scramble_84,0.5,1,-1.0,0.2067582025677603,33648
puma_scramble_84,0.5,1,0.0,0.2508271913139959,33648
puma_scramble_84,0.5,1,1.0,0.2836027896655571,33648
puma_scramble_84,0.5,1,2.0,0.3140652242827706,16824
puma_scramble_84,0.5,1,3.0,0.3258143128863528,16824
puma_scramble_29,0.0,60,-3.0,0.0266170634920634,16800
puma_scramble_29,0.0,60,-2.0,0.1494444444444444,16800
puma_scramble_29,0.0,60,-1.0,0.2474404761904761,16800
puma_scramble_29,0.0,60,-0.5,0.2731349206349206,16800
puma_scramble_29,0.0,60,0.0,0.308640873015873,16800
puma_scramble_29,0.0,60,0.5,0.3279662698412698,16800
puma_scramble_29,0.0,60,1.0,0.341765873015873,16800
puma_scramble_29,0.0,60,2.0,0.3697023809523809,16800
puma_scramble_29,0.0,60,3.0,0.3950297619047619,16800
puma_scramble_29,0.0,30,-3.0,0.027063492063492,16800
puma_scramble_29,0.0,30,-2.0,0.1339186507936507,16800
puma_scramble_29,0.0,30,-1.0,0.2121825396825397,16800
puma_scramble_29,0.0,30,-0.5,0.235079365079365,16800
puma_scramble_29,0.0,30,0.0,0.2627876984126984,16800
puma_scramble_29,0.0,30,0.5,0.2732638888888888,16800
puma_scramble_29,0.0,30,1.0,0.2855257936507936,16800
puma_scramble_29,0.0,30,2.0,0.3044642857142857,16800
puma_scramble_29,0.0,30,3.0,0.3194543650793651,16800
puma_scramble_29,0.0,1,-3.0,0.0148511904761904,16800
puma_scramble_29,0.0,1,-2.0,0.0781547619047619,16800
puma_scramble_29,0.0,1,-1.0,0.1180853174603174,16800
puma_scramble_29,0.0,1,-0.5,0.1315674603174603,16800
puma_scramble_29,0.0,1,0.0,0.1380059523809523,16800
puma_scramble_29,0.0,1,0.5,0.1419642857142857,16800
puma_scramble_29,0.0,1,1.0,0.1470734126984127,16800
puma_scramble_29,0.0,1,2.0,0.1518353174603174,16800
puma_scramble_29,0.0,1,3.0,0.1531150793650793,16800
puma_scramble_29,0.2,30,-3.0,0.0583432539682539,16800
puma_scramble_29,0.2,30,-2.0,0.1813789682539682,16800
puma_scramble_29,0.2,30,-1.0,0.2733531746031746,16800
puma_scramble_29,0.2,30,-0.5,0.2934821428571428,16800
puma_scramble_29,0.2,30,0.0,0.3245734126984127,16800
puma_scramble_29,0.2,30,0.5,0.3360416666666667,16800
puma_scramble_29,0.2,30,1.0,0.3469940476190476,16800
puma_scramble_29,0.2,30,2.0,0.3669841269841269,16800
puma_scramble_29,0.2,30,3.0,0.3820535714285714,16800
