Protein,distance,angle,MTFE,Omega2/Omega1,Frame
GS16,0.0,30,-1.0,0.2543630952380952,28000
GS16,0.0,30,0.0,0.2618690476190476,28000
GS16,0.0,30,1.0,0.2622916666666666,28000
GS16,0.0,30,2.0,0.2669047619047619,28000
GS16,0.0,30,3.0,0.2712083333333333,28000
GS16,0.0,1,-3.0,0.1358988095238095,28000
GS16,0.0,1,-2.0,0.1368571428571428,28000
GS16,0.0,1,-1.0,0.1415535714285714,28000
GS16,0.0,1,0.0,0.1466607142857142,28000
GS16,0.0,1,1.0,0.1477440476190476,28000
GS16,0.0,1,2.0,0.1490357142857143,28000
GS16,0.0,1,3.0,0.1516964285714285,28000
GS16,0.2,30,-3.0,0.3334345238095238,28000
GS16,0.2,30,-2.0,0.3304047619047619,28000
GS16,0.2,30,-1.0,0.335922619047619,28000
GS16,0.2,30,0.0,0.3411488095238095,28000
GS16,0.2,30,1.0,0.3402738095238095,28000
GS16,0.2,30,2.0,0.3445416666666667,28000
GS16,0.2,30,3.0,0.3473630952380952,28000
GS16,0.2,1,-3.0,0.2223988095238095,28000
GS16,0.2,1,-2.0,0.2204404761904762,28000
GS16,0.2,1,-1.0,0.22425,28000
GS16,0.2,1,0.0,0.2298154761904761,28000
GS16,0.2,1,1.0,0.2299761904761904,28000
GS16,0.2,1,2.0,0.2316130952380952,28000
GS16,0.2,1,3.0,0.2352678571428571,28000
GS16,0.5,1,-3.0,0.3421130952380952,28000
GS16,0.5,1,-2.0,0.3387559523809524,28000
GS16,0.5,1,-1.0,0.3397321428571428,28000
GS16,0.5,1,0.0,0.340875,28000
GS16,0.5,1,1.0,0.3390416666666667,28000
GS16,0.5,1,2.0,0.339422619047619,28000
GS16,0.5,1,3.0,0.3406964285714285,28000
GS8,0.0,60,-3.0,0.4675357142857143,28000
GS8,0.0,60,-2.0,0.4744047619047619,28000
GS8,0.0,60,-1.0,0.4781130952380952,28000
GS8,0.0,60,0.0,0.488297619047619,28000
GS8,0.0,60,1.0,0.4884047619047619,28000
GS8,0.0,60,2.0,0.4980833333333333,28000
GS8,0.0,60,3.0,0.4937380952380952,28000
GS8,0.0,30,-3.0,0.3574285714285714,28000
GS8,0.0,30,-2.0,0.3600059523809524,28000
GS8,0.0,30,-1.0,0.3620535714285714,28000
GS8,0.0,30,0.0,0.3701964285714286,28000
GS8,0.0,30,1.0,0.3698988095238095,28000
GS8,0.0,30,2.0,0.3776011904761904,28000
GS8,0.0,30,3.0,0.3770892857142857,28000
GS8,0.0,1,-3.0,0.2047857142857143,28000
GS8,0.0,1,-2.0,0.2033035714285714,28000
GS8,0.0,1,-1.0,0.2043333333333333,28000
GS8,0.0,1,0.0,0.2109583333333333,28000
GS8,0.0,1,1.0,0.2107619047619047,28000
GS8,0.0,1,2.0,0.2130952380952381,28000
GS8,0.0,1,3.0,0.2160714285714285,28000
GS8,0.2,30,-3.0,0.4650833333333333,28000
GS8,0.2,30,-2.0,0.4661190476190476,28000
GS8,0.2,30,-1.0,0.4682142857142857,28000
GS8,0.2,30,0.0,0.4733988095238095,28000
GS8,0.2,30,1.0,0.4730357142857143,28000
