Protein,datatype,MTFE,Rs,Sd,Frame,Sequence,length,kappa,FCR,NCPR,Hydrophobicity,Expanding,delta
puma_scramble_53,ee,-3.0,1.3628548575704926,0.1288849107345498,16839.0,,,,,,,,
puma_scramble_53,ee,-2.0,2.208593134515437,0.240018583735312,16824.0,,,,,,,,
puma_scramble_53,ee,-1.0,3.212626309970618,0.2850513021008101,16824.0,,,,,,,,
puma_scramble_53,ee,0.0,4.140127026487037,0.1022150326094812,16824.0,,,,,,,,
puma_scramble_53,ee,1.0,4.649056751870905,0.0557618803785056,16824.0,,,,,,,,
puma_scramble_53,ee,2.0,4.872169072999736,0.0407169443825782,16824.0,,,,,,,,
puma_scramble_53,ee,3.0,5.005313322461762,0.0203800715592774,16824.0,,,,,,,,
puma_scramble_84,ee,-3.0,2.002381379163372,0.3798904275101403,13141.0,,,,,,,,
puma_scramble_84,ee,-2.0,2.2620495664530638,0.3020624958267403,16824.0,,,,,,,,
puma_scramble_84,ee,-1.0,2.668388364418519,0.1770677789339297,33648.0,,,,,,,,
puma_scramble_84,ee,0.0,3.4590305373288737,0.058954001613233,33648.0,,,,,,,,
puma_scramble_84,ee,1.0,3.9856221584414535,0.0472058897462179,33648.0,,,,,,,,
puma_scramble_84,ee,2.0,4.5041838983057,0.0015491169761144,16824.0,,,,,,,,
puma_scramble_84,ee,3.0,4.757883416259368,0.0096067064185757,16824.0,,,,,,,,
puma_scramble_29,ee,-3.0,1.5128659474459432,0.1265810590467628,16800.0,,,,,,,,
puma_scramble_29,ee,-2.0,2.66033834866115,0.3033997312381492,16800.0,,,,,,,,
puma_scramble_29,ee,-1.0,3.454427117664544,0.1949308188721811,16800.0,,,,,,,,
puma_scramble_29,ee,0.0,4.107140390695561,0.006437243713628,16800.0,,,,,,,,
puma_scramble_29,ee,1.0,4.396804419504035,0.0463586233006368,16800.0,,,,,,,,
puma_scramble_29,ee,2.0,4.722952322771861,0.0213933327720311,16800.0,,,,,,,,
puma_scramble_29,ee,3.0,4.91731837702649,0.0258961175857361,16800.0,,,,,,,,
puma_scramble_60,ee,-3.0,1.0110908490260893,0.0139894523805971,16735.0,,,,,,,,
puma_scramble_60,ee,-2.0,1.6587904634795334,0.0773403154406718,16776.0,,,,,,,,
puma_scramble_60,ee,-1.0,1.8479897468959752,0.522100176969923,16824.0,,,,,,,,
puma_scramble_60,ee,0.0,3.2013399542029903,0.2020457756180206,16824.0,,,,,,,,
puma_scramble_60,ee,1.0,3.605436560290871,0.0205072883203734,16824.0,,,,,,,,
puma_scramble_60,ee,2.0,3.8628961265041073,0.0203423595915074,16824.0,,,,,,,,
puma_scramble_60,ee,3.0,4.024374107165502,0.0153639316735174,16824.0,,,,,,,,
puma_scramble_62,ee,-3.0,1.4701207991293193,0.3517205936830094,16819.0,,,,,,,,
puma_scramble_62,ee,-2.0,1.9315351450248424,0.2029300870878544,16825.0,,,,,,,,
puma_scramble_62,ee,-1.0,1.886170958822392,0.1272339869847208,16820.0,,,,,,,,
puma_scramble_62,ee,0.0,2.3476847928075832,0.0598642426080639,16824.0,,,,,,,,
puma_scramble_62,ee,1.0,2.590847405163492,0.0937489809875891,16824.0,,,,,,,,
puma_scramble_62,ee,2.0,3.0120167803308027,0.0168267831781564,16824.0,,,,,,,,
puma_scramble_62,ee,3.0,3.3387290475074303,0.0182126506914159,16824.0,,,,,,,,
puma_scramble_59,ee,-3.0,2.1953456212660085,0.238979245242757,16826.0,,,,,,,,
puma_scramble_59,ee,-2.0,2.390975929676239,0.1106357792655767,16824.0,,,,,,,,
puma_scramble_59,ee,-1.0,2.9941762129409053,0.0228837686892118,16824.0,,,,,,,,
puma_scramble_59,ee,0.0,3.665884819670031,0.0766879054080484,16824.0,,,,,,,,
puma_scramble_59,ee,1.0,4.218441911803446,0.0220512426967608,16824.0,,,,,,,,
puma_scramble_59,ee,2.0,4.473737048400594,0.0368376811662179,16824.0,,,,,,,,
puma_scramble_59,ee,3.0,4.674609157063255,0.0369451545575073,16824.0,,,,,,,,
puma_scramble_9,ee,-3.0,1.5585112473670215,0.2628578797155286,16800.0,,,,,,,,
puma_scramble_9,ee,-2.0,1.6961735665940103,0.2935001846074493,16800.0,,,,,,,,
puma_scramble_9,ee,-1.0,1.7848346258753112,0.1642376504901621,16800.0,,,,,,,,
puma_scramble_9,ee,0.0,2.2241357197275478,0.1646050002957351,16800.0,,,,,,,,
puma_scramble_9,ee,1.0,2.753926073011188,0.0963957841398488,16800.0,,,,,,,,
puma_scramble_9,ee,2.0,3.2885584083660726,0.0119663733588318,16800.0,,,,,,,,
puma_scramble_9,ee,3.0,3.4704352662109192,0.0156869764730192,16800.0,,,,,,,,
puma_scramble_19,ee,-3.0,1.1152309473533006,0.0616058523223874,16800.0,,,,,,,,
puma_scramble_19,ee,-2.0,1.4966110667905637,0.1813736405206318,16800.0,,,,,,,,
puma_scramble_19,ee,-1.0,2.6179460328196487,0.718862250311995,16800.0,,,,,,,,
puma_scramble_19,ee,0.0,3.69000658115106,0.4663761567318766,16800.0,,,,,,,,
puma_scramble_19,ee,1.0,4.232365844769492,0.052422764520652,16800.0,,,,,,,,
puma_scramble_19,ee,2.0,4.457095089331269,0.0161422043165818,16800.0,,,,,,,,
puma_scramble_19,ee,3.0,4.624169670503054,0.0209979968239739,16800.0,,,,,,,,
puma_scramble_90,ee,-3.0,1.1639469888274765,0.1888612389673224,13943.0,,,,,,,,
puma_scramble_90,ee,-2.0,1.564367756900012,0.2901716249242231,14319.0,,,,,,,,
puma_scramble_90,ee,-1.0,2.4570253502650483,0.2026675707298779,31819.0,,,,,,,,
puma_scramble_90,ee,0.0,3.0458627990589844,0.0840746366207596,31911.0,,,,,,,,
puma_scramble_90,ee,1.0,3.3641704259474845,0.0403349479922142,33648.0,,,,,,,,
puma_scramble_90,ee,2.0,3.759303631450415,0.0177147904095565,15743.0,,,,,,,,
puma_scramble_90,ee,3.0,4.100814327352901,0.054119420481579,15710.0,,,,,,,,
puma_scramble_65,ee,-3.0,1.7928147755082604,0.2142982644056032,16834.0,,,,,,,,
puma_scramble_65,ee,-2.0,1.8782250469145725,0.3132600747718638,16824.0,,,,,,,,
puma_scramble_65,ee,-1.0,2.7425505294846717,0.0957453625709965,16824.0,,,,,,,,
puma_scramble_65,ee,0.0,3.263682039869977,0.0276749764427622,16824.0,,,,,,,,
puma_scramble_65,ee,1.0,3.737807227156018,0.0665229857232226,16824.0,,,,,,,,
puma_scramble_65,ee,2.0,4.158115279505182,0.0122574081766795,16824.0,,,,,,,,
puma_scramble_65,ee,3.0,4.403593989748984,0.0174383749228143,16824.0,,,,,,,,
puma_scramble_3,ee,-3.0,0.818911850049737,0.0750426105332349,16800.0,,,,,,,,
puma_scramble_3,ee,-2.0,1.1560795520724996,0.3014802647344717,16800.0,,,,,,,,
puma_scramble_3,ee,-1.0,2.2146899959906228,0.3337287689617803,16800.0,,,,,,,,
puma_scramble_3,ee,0.0,3.303211512751877,0.126741543271737,16800.0,,,,,,,,
puma_scramble_3,ee,1.0,3.723174460915228,0.1598136827002424,16800.0,,,,,,,,
puma_scramble_3,ee,2.0,4.267407444140741,0.0195895490328787,16800.0,,,,,,,,
